# Pathway	W10	W100	W105	W111	W113	W117	W12	W123	W128	W139	W149	W154	W157	W16	W164	W169	W173	W183	W189	W193	W196	W209	W21	W215	W226	W231	W234	W250	W26	W28	W32	W38	W4	W43	W48	W53	W64	W69	W74	W79	W85	W89	W91
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_tandoii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929.2395684049	0	0	0	0	0	0	0	0	0	750.4333932138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_towneri	61.6341508879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Agrobacterium.s__Agrobacterium_tumefaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954.5743582392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	11.5870673039	0	0	0	15.9286017339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.1542110004	0	0	0	0	0	0
UNINTEGRATED|g__Albidiferax.s__Albidiferax_ferrireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516.0585116963	1279.3660255717	0	0	266.3330731558	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	0	0	0	0	0	0	0	0	57.2503700842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116.0261421714	0	38.8724242213	0	0	0	0
UNINTEGRATED|g__Allochromatium.s__Allochromatium_vinosum	0	0	0	0	0	0	0	88.4100141677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaeromyxobacter.s__Anaeromyxobacter_dehalogenans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1442.8198697486	814.1326350773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Arthrobacter.s__Arthrobacter_sp_TB_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2653.1126417113	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Azoarcus.s__Azoarcus_toluclasticus	0	0	0	0	0	0	444.0913864316	0	0	0	0	0	0	0	4389.9598070412	2690.4421693427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_cereus_thuringiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	769.2311522494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_megaterium	0	0	268.0839203960	0	172.3726508207	0	444.5065041615	0	0	0	0	0	0	111.1636667543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105.5842905558	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	0	0	0	0	0	0	0	0	0	0	0	0	0	83.8229765389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	0	0	0	64.8845542359	0	0	0	0	0	0	0	108.5538631754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.4612453644	0	0	0	0	0
UNINTEGRATED|g__Bdellovibrio.s__Bdellovibrio_bacteriovorus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.2991657014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.7482855697	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234.0739860183	0	0	0	0
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1134.9874716197
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	1181.9613521812	0	0	0	0	0	0	2655.0032801935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1037.0820584685	3836.3711777549	0	4027.5562882646
UNINTEGRATED|g__Brevundimonas.s__Brevundimonas_abyssalis	0	1392.0715357047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	857.9637101966	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Candidatus_Accumulibacter.s__Candidatus_Accumulibacter_phosphatis	73.9123016973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144.2371614590	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346.3082396996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	721.4234305341	0
UNINTEGRATED|g__Caulobacter.s__Caulobacter_vibrioides	37.1526550101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.2315825067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.8908304625	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Cetobacterium.s__Cetobacterium_somerae	0	0	0	0	0	0	0	0	0	0	0	0	0	25.5186666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Chlorobium.s__Chlorobium_limicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.4273273666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_beijerinckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.8808394395	614.9992232759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_carboxidivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303.9401273048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_saccharobutylicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	831.9463064428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_saccharoperbutylacetonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	93.2991732043	96.0768555159	124.3074597989	1663.2713784295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_symbiosum	0	0	0	0	0	0	0	0	117.1596674771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Comamonas.s__Comamonas_testosteroni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114.7703225105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Corallococcus.s__Corallococcus_coralloides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279.3457288964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Cyanobium.s__Cyanobium_gracile	0	0	0	0	0	0	0	259.1597769359	0	0	0	148.1805981806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Cylindrospermopsis.s__Cylindrospermopsis_raciborskii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.5230782477	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Dechloromonas.s__Dechloromonas_aromatica	617.9569584312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Delftia.s__Delftia_acidovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583.3864384633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfobacter.s__Desulfobacter_postgatei	262.9681915680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173.1934236597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfococcus.s__Desulfococcus_oleovorans	0	0	0	0	0	0	0	56.9519560496	0	0	0	90.7537556909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfomicrobium.s__Desulfomicrobium_baculatum	0	0	0	0	0	0	0	123.0373651076	134.0852631392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252.8482667980	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfomonile.s__Desulfomonile_tiedjei	0	0	0	0	0	0	0	0	46.8881891024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.5484841898	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfotignum.s__Desulfotignum_phosphitoxidans	0	0	0	0	0	0	0	419.6970384309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_africanus	0	0	53.6557280858	0	0	0	0	0	1702.3138207574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_desulfuricans	12.1894367262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_magneticus	0	0	0	0	0	0	0	0	0	0	0	0	0	65.1646208279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Dyella.s__Dyella_ginsengisoli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1142.0929827548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1013.2243294237	0	0	0	0	0	0	0	0	0	0	0	290.4382627341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Eudoraea.s__Eudoraea_adriatica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.3258332504	59.0140402441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Exiguobacterium.s__Exiguobacterium_antarcticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	876.0962154217	0	0	0	0
UNINTEGRATED|g__Exiguobacterium.s__Exiguobacterium_pavilionensis	114.2703098483	0	450.6956677342	0	1176.0803012830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180.0909144082	0	0	0	32.8452524701	0	0	0	0	0	2397.4353310001	0	0	0	0
UNINTEGRATED|g__Exiguobacterium.s__Exiguobacterium_sibiricum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.1061256717	756.4545080992	0	0	0	0
UNINTEGRATED|g__Exiguobacterium.s__Exiguobacterium_sp_AT1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698.4845539975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Exiguobacterium.s__Exiguobacterium_sp_MH3	0	0	0	0	0	0	4287.9978496595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Geminocystis.s__Geminocystis_herdmanii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.2916091821	0	0	0	0	0
UNINTEGRATED|g__Geobacter.s__Geobacter_lovleyi	293.3145370230	0	54.4362661129	0	0	0	135.8997437205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Geobacter.s__Geobacter_metallireducens	139.2352600364	0	0	0	0	0	153.3731140528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Geobacter.s__Geobacter_uraniireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310.0883194472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Geodermatophilus.s__Geodermatophilus_obscurus	0	0	1232.3851575718	0	2182.5107239104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Gillisia.s__Gillisia_limnaea	0	392.1015230690	0	0	0	1297.9125412223	0	0	337.6410507794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558.5014906428	0	0	0	0	380.3681605844	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Haliscomenobacter.s__Haliscomenobacter_hydrossis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.7101423991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Halomonas.s__Halomonas_boliviensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372.4449227664	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Halomonas.s__Halomonas_titanicae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365.8399878446	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Hyphomicrobium.s__Hyphomicrobium_denitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120.2554257694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Hyphomonas.s__Hyphomonas_neptunium	0	0	0	0	0	0	0	0	59.7444668064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Intrasporangium.s__Intrasporangium_calvum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	706.7187952683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Janthinobacterium.s__Janthinobacterium_lividum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442.5671995189	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Kangiella.s__Kangiella_aquimarina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.9694314723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	648.1731934132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Kocuria.s__Kocuria_sp_UCD_OTCP	0	0	3430.9977537324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Labrenzia.s__Labrenzia_aggregata	0	0	0	0	0	0	0	0	0	0	0	156.5516347851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lactococcus.s__Lactococcus_garvieae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.2323143240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lactococcus.s__Lactococcus_lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.8695811877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lamprocystis.s__Lamprocystis_purpurea	0	0	0	0	0	0	0	0	0	477.3272694590	0	0	215.4632445101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Leeia.s__Leeia_oryzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	546.0413367133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Marinobacter.s__Marinobacter_adhaerens	0	0	0	0	0	0	0	0	0	0	0	130.0485599414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Massilia.s__Massilia_timonae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243.5080640233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Mesorhizobium.s__Mesorhizobium_loti	0	0	0	0	525.5529809454	0	365.2367977528	0	0	0	0	0	0	365.0643490783	0	1028.1855177849	0	0	0	0	0	0	0	0	0	0	586.7427120683	0	0	0	0	0	0	0	0	0	913.7700470049	0	0	625.0816452859	1234.5279845356	0	1647.4238052039
UNINTEGRATED|g__Methanobacterium.s__Methanobacterium_formicicum	0	0	0	0	0	0	0	0	0	0	0	0	51.2079805094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136.9396431985	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanocella.s__Methanocella_paludicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109.1539892425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanocorpusculum.s__Methanocorpusculum_labreanum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134.5594308723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanolobus.s__Methanolobus_psychrophilus	0	0	0	0	0	0	0	34.0705865889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanolobus.s__Methanolobus_tindarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.2829358590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanosaeta.s__Methanosaeta_concilii	797.5802754260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanosaeta.s__Methanosaeta_harundinacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.6453263977	0	29.8950865697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanosarcina.s__Methanosarcina_acetivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245.0583828769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanosarcina.s__Methanosarcina_barkeri	0	296.0845522308	0	0	196.8852809232	0	0	0	0	88.0386943491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanospirillum.s__Methanospirillum_hungatei	21.6021153084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methylocystis.s__Methylocystis_rosea	0	0	0	0	0	0	0	0	0	0	372.5195304884	0	0	0	0	0	0	0	0	0	0	241.0260053172	0	0	0	0	0	0	0	0	234.4936857090	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Microbacterium.s__Microbacterium_laevaniformans	0	0	0	0	0	0	0	0	0	0	19.7457029446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Microcoleus.s__Microcoleus_vaginatus	0	320.2933546616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	848.1224813689	0	0	0	0
UNINTEGRATED|g__Microcystis.s__Microcystis_aeruginosa	291.6362031834	0	0	0	0	0	1454.2590944151	0	0	0	0	0	1055.3195831707	2597.3395986801	1420.1544970699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Micromonospora.s__Micromonospora_lupini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	733.8399143499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
